Visitor,Order,Customer,Device,Date,Rate,Source
28860,133,Prospect,Mobile Phone,2/21/2019,0.0046084546084546076,Prospect Mobile Phone
4401,5,Prospect,Tablet,2/21/2019,0.001136105430583958,Prospect Tablet
28100,117,Prospect,Desktop,2/21/2019,0.0041637010676156576,Prospect Desktop
230827,403,Undetermined,Mobile Phone,2/21/2019,0.001745896277298583,Undetermined Mobile Phone
193744,788,Undetermined,Desktop,2/21/2019,0.004067222726897349,Undetermined Desktop
114936,1243,Customer,Mobile Phone,2/21/2019,0.010814714275770864,Customer Mobile Phone
22683,54,Undetermined,Tablet,2/21/2019,0.002380637481814575,Undetermined Tablet
73321,745,Customer,Mobile Phone,3/18/2019,0.010160799770870556,Customer Mobile Phone
15693,44,Undetermined,Tablet,3/18/2019,0.0028037978716625245,Undetermined Tablet
12733,317,Customer,Tablet,3/18/2019,0.02489593968428493,Customer Tablet
162348,3946,Customer,Desktop,3/18/2019,0.02430581220587873,Customer Desktop
20810,80,Prospect,Mobile Phone,3/18/2019,0.0038443056222969728,Prospect Mobile Phone
3215,3,Prospect,Tablet,3/18/2019,0.0009331259720062207,Prospect Tablet
21709,96,Prospect,Desktop,3/18/2019,0.004422129070892257,Prospect Desktop
145262,283,Undetermined,Mobile Phone,3/18/2019,0.0019482039349589017,Undetermined Mobile Phone
160134,618,Undetermined,Desktop,3/18/2019,0.0038592678631646,Undetermined Desktop
11646,53,Prospect,Desktop,3/9/2019,0.0045509187703932676,Prospect Desktop
172370,300,Undetermined,Mobile Phone,3/9/2019,0.0017404420722863607,Undetermined Mobile Phone
116158,586,Undetermined,Desktop,3/9/2019,0.005044852700631898,Undetermined Desktop
84348,902,Customer,Mobile Phone,3/9/2019,0.01069379238393323,Customer Mobile Phone
19680,49,Undetermined,Tablet,3/9/2019,0.002489837398373984,Undetermined Tablet
15535,431,Customer,Tablet,3/9/2019,0.027743804312841968,Customer Tablet
120220,3473,Customer,Desktop,3/9/2019,0.028888704042588587,Customer Desktop
17262,80,Prospect,Mobile Phone,3/9/2019,0.004634457189201715,Prospect Mobile Phone
2576,2,Prospect,Tablet,3/9/2019,0.0007763975155279503,Prospect Tablet
183123,251,Undetermined,Mobile Phone,2/12/2019,0.0013706634338668546,Undetermined Mobile Phone
160759,564,Undetermined,Desktop,2/12/2019,0.003508357230388345,Undetermined Desktop
88257,810,Customer,Mobile Phone,2/12/2019,0.009177742275400252,Customer Mobile Phone
22769,42,Undetermined,Tablet,2/12/2019,0.001844613289999561,Undetermined Tablet
14246,272,Customer,Tablet,2/12/2019,0.01909307875894988,Customer Tablet
144775,3911,Customer,Desktop,2/12/2019,0.02701433258504576,Customer Desktop
21891,91,Prospect,Mobile Phone,2/12/2019,0.004156959481065278,Prospect Mobile Phone
4297,6,Prospect,Tablet,2/12/2019,0.001396323016057715,Prospect Tablet
22499,96,Prospect,Desktop,2/12/2019,0.004266856304724655,Prospect Desktop
25279,53,Undetermined,Tablet,2/23/2019,0.0020966019225444046,Undetermined Tablet
16956,491,Customer,Tablet,2/23/2019,0.02895730125029488,Customer Tablet
123318,3552,Customer,Desktop,2/23/2019,0.028803580985744176,Customer Desktop
20276,84,Prospect,Mobile Phone,2/23/2019,0.0041428289603472074,Prospect Mobile Phone
3512,10,Prospect,Tablet,2/23/2019,0.002847380410022779,Prospect Tablet
16210,79,Prospect,Desktop,2/23/2019,0.004873534855027761,Prospect Desktop
234022,354,Undetermined,Mobile Phone,2/23/2019,0.0015126782952030152,Undetermined Mobile Phone
148827,593,Undetermined,Desktop,2/23/2019,0.003984492061252326,Undetermined Desktop
101177,1232,Customer,Mobile Phone,2/23/2019,0.012176680470857999,Customer Mobile Phone
160509,4624,Customer,Desktop,3/6/2019,0.028808353425664606,Customer Desktop
21817,124,Prospect,Mobile Phone,3/6/2019,0.0056836411972315155,Prospect Mobile Phone
3076,11,Prospect,Tablet,3/6/2019,0.003576072821846554,Prospect Tablet
21619,136,Prospect,Desktop,3/6/2019,0.006290762754984042,Prospect Desktop
156066,316,Undetermined,Mobile Phone,3/6/2019,0.0020247843860930637,Undetermined Mobile Phone
154545,757,Undetermined,Desktop,3/6/2019,0.004898249700734414,Undetermined Desktop
81075,933,Customer,Mobile Phone,3/6/2019,0.011507863089731727,Customer Mobile Phone
17846,47,Undetermined,Tablet,3/6/2019,0.0026336433934775303,Undetermined Tablet
13354,381,Customer,Tablet,3/6/2019,0.02853077729519245,Customer Tablet
16201,409,Customer,Tablet,3/31/2019,0.025245355224986117,Customer Tablet
96786,2983,Customer,Desktop,3/31/2019,0.03082057322340008,Customer Desktop
24417,80,Prospect,Mobile Phone,3/31/2019,0.0032764057828562065,Prospect Mobile Phone
3235,7,Prospect,Tablet,3/31/2019,0.002163833075734157,Prospect Tablet
10148,70,Prospect,Desktop,3/31/2019,0.006897910918407568,Prospect Desktop
242940,420,Undetermined,Mobile Phone,3/31/2019,0.0017288219313410721,Undetermined Mobile Phone
85958,407,Undetermined,Desktop,3/31/2019,0.004734870518160032,Undetermined Desktop
94933,980,Customer,Mobile Phone,3/31/2019,0.01032306995459956,Customer Mobile Phone
22765,91,Undetermined,Tablet,3/31/2019,0.003997364375137272,Undetermined Tablet
179007,571,Undetermined,Desktop,2/8/2019,0.003189819392537722,Undetermined Desktop
85898,893,Customer,Mobile Phone,2/8/2019,0.010396051130410486,Customer Mobile Phone
25157,41,Undetermined,Tablet,2/8/2019,0.0016297650753269468,Undetermined Tablet
14291,309,Customer,Tablet,2/8/2019,0.021621999860051783,Customer Tablet
153558,3734,Customer,Desktop,2/8/2019,0.024316544888576302,Customer Desktop
16263,98,Prospect,Mobile Phone,2/8/2019,0.0060259484719916365,Prospect Mobile Phone
2802,8,Prospect,Tablet,2/8/2019,0.0028551034975017845,Prospect Tablet
19641,72,Prospect,Desktop,2/8/2019,0.003665801130288682,Prospect Desktop
214753,360,Undetermined,Mobile Phone,2/8/2019,0.001676344451532691,Undetermined Mobile Phone
223721,317,Undetermined,Mobile Phone,3/24/2019,0.001416943425069618,Undetermined Mobile Phone
79655,316,Undetermined,Desktop,3/24/2019,0.003967108153913753,Undetermined Desktop
92998,825,Customer,Mobile Phone,3/24/2019,0.008871158519538055,Customer Mobile Phone
23377,61,Undetermined,Tablet,3/24/2019,0.002609402404072379,Undetermined Tablet
15487,414,Customer,Tablet,3/24/2019,0.026732097888551687,Customer Tablet
86970,2756,Customer,Desktop,3/24/2019,0.031689088191330345,Customer Desktop
28092,112,Prospect,Mobile Phone,3/24/2019,0.003986900185106081,Prospect Mobile Phone
3773,8,Prospect,Tablet,3/24/2019,0.002120328650940896,Prospect Tablet
11502,64,Prospect,Desktop,3/24/2019,0.005564249695705095,Prospect Desktop
169495,340,Undetermined,Mobile Phone,3/3/2019,0.002005958877843005,Undetermined Mobile Phone
124930,588,Undetermined,Desktop,3/3/2019,0.004706635716000961,Undetermined Desktop
86839,1196,Customer,Mobile Phone,3/3/2019,0.01377261368739852,Customer Mobile Phone
19324,47,Undetermined,Tablet,3/3/2019,0.0024322086524529085,Undetermined Tablet
16062,467,Customer,Tablet,3/3/2019,0.02907483501431951,Customer Tablet
123865,3897,Customer,Desktop,3/3/2019,0.03146167198159286,Customer Desktop
23754,107,Prospect,Mobile Phone,3/3/2019,0.0045045045045045045,Prospect Mobile Phone
3524,10,Prospect,Tablet,3/3/2019,0.002837684449489217,Prospect Tablet
16631,95,Prospect,Desktop,3/3/2019,0.0057122241597017615,Prospect Desktop
